tweetid,username,text,lat,lon,city
41,@RideBetter,"Neighborhood cleanup day in Chicago, IL collects 984 bags of waste.",41.875417,-87.637461,"Chicago, IL"
42,@RideBetter,"City installs smart streetlights to save energy in Austin, TX.",30.28158,-97.750687,"Austin, TX"
43,@SmartUrbanist,"Farmers market in Miami, FL adds local artisans this season.",25.775112,-80.194565,"Miami, FL"
44,@EduVoice,"Coding bootcamp enrollment surges in Seattle, WA.",47.621308,-122.346345,"Seattle, WA"
45,@GreenPulse,"University in San Francisco, CA expands AI for sustainability courses.",37.767373,-122.402785,"San Francisco, CA"
46,@SmartCityHub,"Digital twin pilot launched for flood management in Philadelphia, PA.",39.970073,-75.161059,"Philadelphia, PA"
47,@TeachToday,"Mental health awareness walk happening downtown Washington, DC this Saturday.",38.924578,-77.029774,"Washington, DC"
48,@GeoInsights,"City health department launches air quality dashboard in Phoenix, AZ.",33.464505,-112.074828,"Phoenix, AZ"
49,@CityObserver,"Green infrastructure projects reduce flooding in San Francisco, CA.",37.762145,-122.400473,"San Francisco, CA"
50,@PublicHealthNow,"New community clinic opens in Boston, MA with extended evening hours. Access matters.",42.342758,-71.042093,"Boston, MA"
51,@TeachToday,"Civic engagement workshop planned for youth in San Jose, CA.",37.327443,-121.870277,"San Jose, CA"
52,@ParksAndPeople,"University in Boston, MA expands AI for sustainability courses.",42.368359,-71.071573,"Boston, MA"
53,@RideBetter,"Protected bike lanes expand downtown Phoenix, AZ.",33.455094,-112.074415,"Phoenix, AZ"
54,@MobilityMatters,"Weekend rail service improved in Miami, FL.",25.776723,-80.19087,"Miami, FL"
55,@OpenDataLab,"Traffic signal timing optimized for smoother flow in Miami, FL.",25.755694,-80.173269,"Miami, FL"
56,@ParksAndPeople,"Clean air campaign gains traction in Denver, CO neighborhoods.",39.741846,-104.987773,"Denver, CO"
57,@NeighborhoodNews,"Clean air campaign gains traction in San Francisco, CA neighborhoods.",37.77821,-122.408036,"San Francisco, CA"
58,@UrbanMapper,"Teachers in Boston, MA receive innovation grants for classroom tech.",42.35476,-71.041982,"Boston, MA"
59,@CommunityWorks,"Weekend rail service improved in Jacksonville, FL.",30.346067,-81.655969,"Jacksonville, FL"
60,@SmartCityHub,"Protected bike lanes expand downtown San Francisco, CA.",37.778256,-122.430782,"San Francisco, CA"
61,@PolicyWatch,"Community college in Chicago, IL offers new GIS certification program.",41.868357,-87.621119,"Chicago, IL"
62,@MobilityMatters,"Coding bootcamp enrollment surges in Seattle, WA.",47.598903,-122.314713,"Seattle, WA"
63,@UrbanMapper,"IoT sensors deployed to monitor water leaks in San Jose, CA.",37.327698,-121.866699,"San Jose, CA"
64,@EduVoice,"Community garden program expands to San Diego, CA’s west side.",32.718206,-117.169077,"San Diego, CA"
65,@SmartUrbanist,"City installs smart streetlights to save energy in Phoenix, AZ.",33.459235,-112.067922,"Phoenix, AZ"
66,@SmartUrbanist,"Transit ridership up 4,951% in Charlotte, NC after new pass program.",35.241081,-80.846213,"Charlotte, NC"
67,@CityObserver,"Recycling rates rise 1,325% after new policy rollout in Jacksonville, FL.",30.324487,-81.666478,"Jacksonville, FL"
68,@GreenPulse,"New mobility app integrates all transit modes in Miami, FL.",25.748137,-80.173767,"Miami, FL"
69,@EdTechToday,"Traffic signal timing optimized for smoother flow in Phoenix, AZ.",33.446657,-112.072927,"Phoenix, AZ"
70,@EdTechToday,"Traffic signal timing optimized for smoother flow in Charlotte, NC.",35.244244,-80.834455,"Charlotte, NC"
71,@EdTechToday,"Transit ridership up 3,794% in Miami, FL after new pass program.",25.771565,-80.209562,"Miami, FL"
72,@GeoInsights,"Neighborhood cleanup day in New York, NY collects 1,301 bags of waste.",40.721016,-74.018012,"New York, NY"
73,@UrbanResilience,"New community clinic opens in Washington, DC with extended evening hours. Access matters.",38.91774,-77.047298,"Washington, DC"
74,@EduVoice,"Community college in Charlotte, NC offers new GIS certification program.",35.213894,-80.825601,"Charlotte, NC"
75,@NeighborhoodNews,"University in San Diego, CA expands AI for sustainability courses.",32.696218,-117.168237,"San Diego, CA"
76,@PolicyWatch,"University in Seattle, WA expands AI for sustainability courses.",47.586946,-122.330183,"Seattle, WA"
77,@EduVoice,"Mobile vaccine unit returns this weekend in New York, NY. Walk-ins welcome.",40.721335,-73.989657,"New York, NY"
78,@SmartCityHub,"Green infrastructure projects reduce flooding in Boston, MA.",42.350545,-71.066331,"Boston, MA"
79,@GreenPulse,"New community clinic opens in Denver, CO with extended evening hours. Access matters.",39.751516,-104.987443,"Denver, CO"
80,@HealthMatters,"Volunteers removed 4,580 pounds of trash from rivers in Chicago, IL.",41.888417,-87.619653,"Chicago, IL"
81,@MobilityMatters,"Weekend rail service improved in Austin, TX.",30.287162,-97.741074,"Austin, TX"
82,@CityObserver,"Volunteers removed 4,818 pounds of trash from rivers in San Jose, CA.",37.338823,-121.868416,"San Jose, CA"
83,@PublicHealthNow,"New mobility app integrates all transit modes in Los Angeles, CA.",34.049561,-118.254744,"Los Angeles, CA"
84,@TeachToday,"Volunteers removed 2,479 pounds of trash from rivers in Austin, TX.",30.259587,-97.728797,"Austin, TX"
85,@MobilityMatters,"Farmers market in Seattle, WA adds local artisans this season.",47.625608,-122.318213,"Seattle, WA"
86,@OpenDataLab,"Green infrastructure projects reduce flooding in San Jose, CA.",37.352986,-121.88882,"San Jose, CA"
87,@EduVoice,"Recycling rates rise 1,692% after new policy rollout in Philadelphia, PA.",39.960953,-75.179939,"Philadelphia, PA"
88,@MobilityMatters,"Teachers in Washington, DC receive innovation grants for classroom tech.",38.919981,-77.045957,"Washington, DC"
89,@EdTechToday,"Civic engagement workshop planned for youth in Miami, FL.",25.771614,-80.171976,"Miami, FL"
90,@EduVoice,"Public health team expands food safety inspections in Austin, TX.",30.281302,-97.736121,"Austin, TX"
91,@CityObserver,"Mental health awareness walk happening downtown Columbus, OH this Saturday.",39.960124,-82.99466,"Columbus, OH"
92,@EdTechToday,"Neighborhood cleanup day in Jacksonville, FL collects 5,000 bags of waste.",30.321898,-81.670132,"Jacksonville, FL"
93,@WaterWatchUSA,"Open data portal in Phoenix, AZ now features live traffic feeds.",33.428698,-112.063407,"Phoenix, AZ"
94,@WaterWatchUSA,"Community college in Charlotte, NC offers new GIS certification program.",35.223608,-80.852606,"Charlotte, NC"
95,@PublicHealthNow,"Open data portal in Denver, CO now features live traffic feeds.",39.75825,-104.98969,"Denver, CO"
96,@RideBetter,"Volunteers removed 1,816 pounds of trash from rivers in Charlotte, NC.",35.207371,-80.833802,"Charlotte, NC"
97,@SmartCityHub,"Coding bootcamp enrollment surges in San Antonio, TX.",29.435803,-98.477585,"San Antonio, TX"
98,@EduVoice,"Farmers market in San Jose, CA adds local artisans this season.",37.346416,-121.89853,"San Jose, CA"
99,@GeoInsights,"City installs smart streetlights to save energy in San Jose, CA.",37.323227,-121.873027,"San Jose, CA"
100,@HealthMatters,"Public health team expands food safety inspections in San Francisco, CA.",37.783565,-122.433781,"San Francisco, CA"
101,@SmartUrbanist,"Electric buses roll out on city routes in Houston, TX.",29.767114,-95.382337,"Houston, TX"
102,@TeachToday,"Civic engagement workshop planned for youth in Dallas, TX.",32.775886,-96.804989,"Dallas, TX"
103,@UrbanMapper,"New mobility app integrates all transit modes in San Antonio, TX.",29.421207,-98.501005,"San Antonio, TX"
104,@PolicyWatch,"Community garden program expands to Jacksonville, FL’s west side.",30.334517,-81.662964,"Jacksonville, FL"
105,@GreenPulse,"Mobile vaccine unit returns this weekend in Philadelphia, PA. Walk-ins welcome.",39.93343,-75.149369,"Philadelphia, PA"
106,@HealthMatters,"University in Boston, MA expands AI for sustainability courses.",42.356797,-71.063907,"Boston, MA"
107,@SmartCityHub,"Mobile vaccine unit returns this weekend in Boston, MA. Walk-ins welcome.",42.371011,-71.047836,"Boston, MA"
108,@PublicHealthNow,"Volunteers removed 1,283 pounds of trash from rivers in Philadelphia, PA.",39.964505,-75.146955,"Philadelphia, PA"
109,@SmartUrbanist,"Coding bootcamp enrollment surges in Los Angeles, CA.",34.066282,-118.232006,"Los Angeles, CA"
110,@GeoInsights,"Protected bike lanes expand downtown Denver, CO.",39.742134,-104.972718,"Denver, CO"
111,@PolicyWatch,"Block party celebrates diverse neighborhoods in Jacksonville, FL.",30.32528,-81.640148,"Jacksonville, FL"
112,@SmartCityHub,"Volunteers removed 3,336 pounds of trash from rivers in San Francisco, CA.",37.75717,-122.417689,"San Francisco, CA"
113,@RideBetter,"New mobility app integrates all transit modes in Columbus, OH.",39.946572,-83.013636,"Columbus, OH"
114,@CommunityWorks,"Green infrastructure projects reduce flooding in Philadelphia, PA.",39.970119,-75.180199,"Philadelphia, PA"
115,@TransitTracker,"Block party celebrates diverse neighborhoods in Seattle, WA.",47.597463,-122.324208,"Seattle, WA"
116,@PublicHealthNow,"New mobility app integrates all transit modes in Philadelphia, PA.",39.966579,-75.175867,"Philadelphia, PA"
117,@UrbanResilience,"Mental health awareness walk happening downtown Seattle, WA this Saturday.",47.586549,-122.322034,"Seattle, WA"
118,@EdTechToday,"Traffic signal timing optimized for smoother flow in Boston, MA.",42.362724,-71.041133,"Boston, MA"
119,@ClimateActionUS,"Community garden program expands to New York, NY’s west side.",40.705523,-74.009055,"New York, NY"
120,@GreenPulse,"Digital twin pilot launched for flood management in Austin, TX.",30.27159,-97.742522,"Austin, TX"
121,@TeachToday,"New mobility app integrates all transit modes in Charlotte, NC.",35.233331,-80.835196,"Charlotte, NC"
122,@TeachToday,"Open data portal in Austin, TX now features live traffic feeds.",30.279096,-97.736841,"Austin, TX"
123,@TeachToday,"Green infrastructure projects reduce flooding in Philadelphia, PA.",39.945407,-75.160402,"Philadelphia, PA"
124,@NeighborhoodNews,"City installs smart streetlights to save energy in Denver, CO.",39.749957,-105.000805,"Denver, CO"
125,@TeachToday,"High school introduces new STEM lab in Chicago, IL.",41.860476,-87.611179,"Chicago, IL"
126,@OpenDataLab,"Mental health awareness walk happening downtown San Jose, CA this Saturday.",37.337537,-121.90265,"San Jose, CA"
127,@OpenDataLab,"Traffic signal timing optimized for smoother flow in Houston, TX.",29.752473,-95.372739,"Houston, TX"
128,@PolicyWatch,"Coding bootcamp enrollment surges in Houston, TX.",29.777128,-95.383011,"Houston, TX"
129,@NeighborhoodNews,"Mental health awareness walk happening downtown Washington, DC this Saturday.",38.889925,-77.028675,"Washington, DC"
130,@NeighborhoodNews,"Neighborhood cleanup day in Boston, MA collects 4,026 bags of waste.",42.345213,-71.044058,"Boston, MA"
131,@SmartCityHub,"Mobile vaccine unit returns this weekend in Seattle, WA. Walk-ins welcome.",47.619152,-122.333951,"Seattle, WA"
132,@GeoInsights,"City health department launches air quality dashboard in Jacksonville, FL.",30.351642,-81.662326,"Jacksonville, FL"
133,@PublicHealthNow,"City health department launches air quality dashboard in Dallas, TX.",32.762016,-96.789362,"Dallas, TX"
134,@PolicyWatch,"Volunteers removed 3,132 pounds of trash from rivers in Austin, TX.",30.267377,-97.762165,"Austin, TX"
135,@EduVoice,"City installs smart streetlights to save energy in Philadelphia, PA.",39.940698,-75.175838,"Philadelphia, PA"
136,@ClimateActionUS,"Urban tree canopy expansion adds shade in Seattle, WA.",47.58622,-122.312875,"Seattle, WA"
137,@TransitTracker,"Coding bootcamp enrollment surges in Columbus, OH.",39.946737,-83.010971,"Columbus, OH"
138,@NeighborhoodNews,"Electric buses roll out on city routes in Charlotte, NC.",35.215329,-80.858214,"Charlotte, NC"
139,@CityObserver,"Green infrastructure projects reduce flooding in Dallas, TX.",32.786382,-96.807936,"Dallas, TX"
140,@EdTechToday,"Weekend rail service improved in Denver, CO.",39.752323,-104.97796,"Denver, CO"
141,@PublicHealthNow,"Coding bootcamp enrollment surges in Columbus, OH.",39.970271,-82.987959,"Columbus, OH"
142,@ParksAndPeople,"Neighborhood cleanup day in San Jose, CA collects 4,778 bags of waste.",37.320148,-121.882361,"San Jose, CA"
143,@ClimateActionUS,"Coding bootcamp enrollment surges in Jacksonville, FL.",30.332998,-81.674824,"Jacksonville, FL"
144,@CleanAirNow,"Volunteers removed 888 pounds of trash from rivers in Dallas, TX.",32.767174,-96.786319,"Dallas, TX"
145,@PublicHealthNow,"New mobility app integrates all transit modes in Dallas, TX.",32.778514,-96.784631,"Dallas, TX"
146,@GreenPulse,"Digital twin pilot launched for flood management in Houston, TX.",29.744378,-95.369258,"Houston, TX"
147,@ClimateActionUS,"Volunteers removed 2,156 pounds of trash from rivers in Jacksonville, FL.",30.31917,-81.662141,"Jacksonville, FL"
148,@TeachToday,"Block party celebrates diverse neighborhoods in Miami, FL.",25.763296,-80.203704,"Miami, FL"
149,@ClimateActionUS,"Mental health awareness walk happening downtown Denver, CO this Saturday.",39.735217,-104.97626,"Denver, CO"
150,@EdTechToday,"IoT sensors deployed to monitor water leaks in San Jose, CA.",37.332375,-121.878679,"San Jose, CA"
151,@UrbanResilience,"Protected bike lanes expand downtown Phoenix, AZ.",33.447181,-112.065883,"Phoenix, AZ"
152,@PublicHealthNow,"Weekend rail service improved in Charlotte, NC.",35.222437,-80.829377,"Charlotte, NC"
153,@UrbanMapper,"High school introduces new STEM lab in Houston, TX.",29.774613,-95.379403,"Houston, TX"
154,@GreenPulse,"University in Philadelphia, PA expands AI for sustainability courses.",39.964074,-75.165865,"Philadelphia, PA"
155,@UrbanMapper,"Green infrastructure projects reduce flooding in Dallas, TX.",32.771175,-96.79462,"Dallas, TX"
156,@HealthMatters,"Volunteers removed 4,529 pounds of trash from rivers in Phoenix, AZ.",33.462633,-112.062083,"Phoenix, AZ"
157,@ClimateActionUS,"Green infrastructure projects reduce flooding in Chicago, IL.",41.888687,-87.645318,"Chicago, IL"
158,@UrbanResilience,"IoT sensors deployed to monitor water leaks in Dallas, TX.",32.763871,-96.809173,"Dallas, TX"
159,@WaterWatchUSA,"Recycling rates rise 3,831% after new policy rollout in Washington, DC.",38.910527,-77.056399,"Washington, DC"
160,@EdTechToday,"Volunteers removed 4,357 pounds of trash from rivers in Columbus, OH.",39.958487,-83.000956,"Columbus, OH"
161,@PublicHealthNow,"Recycling rates rise 2,103% after new policy rollout in Columbus, OH.",39.971228,-83.009574,"Columbus, OH"
162,@SmartCityHub,"New community clinic opens in San Antonio, TX with extended evening hours. Access matters.",29.425339,-98.495604,"San Antonio, TX"
163,@OpenDataLab,"New mobility app integrates all transit modes in Boston, MA.",42.358451,-71.061356,"Boston, MA"
164,@UrbanMapper,"Electric buses roll out on city routes in Phoenix, AZ.",33.454072,-112.060146,"Phoenix, AZ"
165,@SmartUrbanist,"Protected bike lanes expand downtown Columbus, OH.",39.979769,-82.979282,"Columbus, OH"
166,@MobilityMatters,"Green infrastructure projects reduce flooding in San Diego, CA.",32.722614,-117.156275,"San Diego, CA"
167,@MobilityMatters,"New mobility app integrates all transit modes in Columbus, OH.",39.964189,-82.990442,"Columbus, OH"
168,@ParksAndPeople,"Electric buses roll out on city routes in Philadelphia, PA.",39.966049,-75.175731,"Philadelphia, PA"
169,@PolicyWatch,"Electric buses roll out on city routes in Los Angeles, CA.",34.035173,-118.240972,"Los Angeles, CA"
170,@CivicSense,"Community garden program expands to Jacksonville, FL’s west side.",30.321928,-81.65276,"Jacksonville, FL"
171,@NeighborhoodNews,"High school introduces new STEM lab in Washington, DC.",38.899209,-77.030149,"Washington, DC"
172,@EdTechToday,"Coding bootcamp enrollment surges in Phoenix, AZ.",33.46001,-112.093647,"Phoenix, AZ"
173,@CivicSense,"High school introduces new STEM lab in San Jose, CA.",37.341102,-121.897196,"San Jose, CA"
174,@CityObserver,"Public health team expands food safety inspections in Los Angeles, CA.",34.061551,-118.23124,"Los Angeles, CA"
175,@ParksAndPeople,"Electric buses roll out on city routes in Austin, TX.",30.259761,-97.757593,"Austin, TX"
176,@UrbanMapper,"New mobility app integrates all transit modes in Houston, TX.",29.780016,-95.369268,"Houston, TX"
177,@GeoInsights,"Neighborhood cleanup day in Seattle, WA collects 2,837 bags of waste.",47.612433,-122.321022,"Seattle, WA"
178,@GreenPulse,"Farmers market in Los Angeles, CA adds local artisans this season.",34.044216,-118.262857,"Los Angeles, CA"
179,@RideBetter,"Farmers market in Miami, FL adds local artisans this season.",25.748659,-80.20879,"Miami, FL"
180,@ParksAndPeople,"Digital twin pilot launched for flood management in San Antonio, TX.",29.417005,-98.509665,"San Antonio, TX"
181,@ClimateActionUS,"New mobility app integrates all transit modes in Los Angeles, CA.",34.044926,-118.240337,"Los Angeles, CA"
182,@ClimateActionUS,"Digital twin pilot launched for flood management in Washington, DC.",38.915443,-77.01935,"Washington, DC"
183,@HealthMatters,"Transit ridership up 561% in Seattle, WA after new pass program.",47.604745,-122.34756,"Seattle, WA"
184,@CivicSense,"Open data portal in Denver, CO now features live traffic feeds.",39.746975,-104.990306,"Denver, CO"
185,@CivicSense,"City installs smart streetlights to save energy in San Francisco, CA.",37.788198,-122.411205,"San Francisco, CA"
186,@UrbanResilience,"New mobility app integrates all transit modes in New York, NY.",40.719116,-74.023926,"New York, NY"
187,@ParksAndPeople,"City health department launches air quality dashboard in Washington, DC.",38.887614,-77.046745,"Washington, DC"
188,@MobilityMatters,"Mental health awareness walk happening downtown Miami, FL this Saturday.",25.752822,-80.197372,"Miami, FL"
189,@SmartUrbanist,"Traffic signal timing optimized for smoother flow in Houston, TX.",29.750375,-95.357174,"Houston, TX"
190,@NeighborhoodNews,"Traffic signal timing optimized for smoother flow in San Jose, CA.",37.351644,-121.891736,"San Jose, CA"
191,@TransitTracker,"Volunteers removed 2,023 pounds of trash from rivers in Dallas, TX.",32.79666,-96.808898,"Dallas, TX"
192,@TeachToday,"Neighborhood cleanup day in Washington, DC collects 1,824 bags of waste.",38.901277,-77.022996,"Washington, DC"
193,@CivicSense,"Weekend rail service improved in Philadelphia, PA.",39.971477,-75.167916,"Philadelphia, PA"
194,@CityObserver,"New community clinic opens in Austin, TX with extended evening hours. Access matters.",30.254053,-97.755961,"Austin, TX"
195,@PolicyWatch,"Coding bootcamp enrollment surges in Houston, TX.",29.761173,-95.371706,"Houston, TX"
196,@TeachToday,"Electric buses roll out on city routes in San Antonio, TX.",29.424565,-98.482239,"San Antonio, TX"
197,@MobilityMatters,"Digital twin pilot launched for flood management in Phoenix, AZ.",33.443136,-112.056627,"Phoenix, AZ"
198,@TransitTracker,"Public health team expands food safety inspections in Washington, DC.",38.899923,-77.055884,"Washington, DC"
199,@CleanAirNow,"Mental health awareness walk happening downtown Dallas, TX this Saturday.",32.780027,-96.783489,"Dallas, TX"
200,@NeighborhoodNews,"Block party celebrates diverse neighborhoods in Columbus, OH.",39.943185,-82.992647,"Columbus, OH"
201,@MobilityMatters,"Community college in San Diego, CA offers new GIS certification program.",32.734831,-117.165108,"San Diego, CA"
202,@CleanAirNow,"Recycling rates rise 4,474% after new policy rollout in Charlotte, NC.",35.243508,-80.863096,"Charlotte, NC"
203,@CommunityWorks,"Coding bootcamp enrollment surges in Dallas, TX.",32.762542,-96.78204,"Dallas, TX"
204,@CityObserver,"Weekend rail service improved in Washington, DC.",38.922737,-77.053415,"Washington, DC"
205,@RideBetter,"Teachers in San Francisco, CA receive innovation grants for classroom tech.",37.784367,-122.430029,"San Francisco, CA"
206,@CityObserver,"Community college in Seattle, WA offers new GIS certification program.",47.603336,-122.314493,"Seattle, WA"
207,@TeachToday,"Block party celebrates diverse neighborhoods in Dallas, TX.",32.786738,-96.800061,"Dallas, TX"
208,@CleanAirNow,"Weekend rail service improved in New York, NY.",40.728034,-74.010792,"New York, NY"
209,@OpenDataLab,"Green infrastructure projects reduce flooding in Washington, DC.",38.918245,-77.017305,"Washington, DC"
210,@ClimateActionUS,"Mental health awareness walk happening downtown San Antonio, TX this Saturday.",29.429766,-98.476553,"San Antonio, TX"
211,@SmartUrbanist,"Block party celebrates diverse neighborhoods in San Diego, CA.",32.700053,-117.180175,"San Diego, CA"
212,@ClimateActionUS,"Digital twin pilot launched for flood management in Philadelphia, PA.",39.968497,-75.15015,"Philadelphia, PA"
213,@CityObserver,"Teachers in San Jose, CA receive innovation grants for classroom tech.",37.355926,-121.885743,"San Jose, CA"
214,@MobilityMatters,"New mobility app integrates all transit modes in Washington, DC.",38.926114,-77.017572,"Washington, DC"
215,@ClimateActionUS,"IoT sensors deployed to monitor water leaks in Columbus, OH.",39.965956,-83.006673,"Columbus, OH"
216,@SmartUrbanist,"Teachers in San Diego, CA receive innovation grants for classroom tech.",32.697811,-117.169219,"San Diego, CA"
217,@PolicyWatch,"Teachers in Seattle, WA receive innovation grants for classroom tech.",47.603038,-122.351337,"Seattle, WA"
218,@CivicSense,"New mobility app integrates all transit modes in Miami, FL.",25.755086,-80.199915,"Miami, FL"
219,@PolicyWatch,"High school introduces new STEM lab in Seattle, WA.",47.588718,-122.317163,"Seattle, WA"
220,@CleanAirNow,"Neighborhood cleanup day in San Jose, CA collects 1,452 bags of waste.",37.327028,-121.894264,"San Jose, CA"
221,@SmartCityHub,"City health department launches air quality dashboard in Boston, MA.",42.371712,-71.050559,"Boston, MA"
222,@TeachToday,"Mobile vaccine unit returns this weekend in Washington, DC. Walk-ins welcome.",38.90107,-77.047031,"Washington, DC"
223,@EduVoice,"City installs smart streetlights to save energy in Washington, DC.",38.916487,-77.025694,"Washington, DC"
224,@RideBetter,"Clean air campaign gains traction in Boston, MA neighborhoods.",42.344386,-71.045714,"Boston, MA"
225,@HealthMatters,"Electric buses roll out on city routes in Los Angeles, CA.",34.062606,-118.26242,"Los Angeles, CA"
226,@ParksAndPeople,"Neighborhood cleanup day in Los Angeles, CA collects 694 bags of waste.",34.035641,-118.239617,"Los Angeles, CA"
227,@SmartUrbanist,"Volunteers removed 1,876 pounds of trash from rivers in San Antonio, TX.",29.410294,-98.509554,"San Antonio, TX"
228,@OpenDataLab,"Coding bootcamp enrollment surges in Philadelphia, PA.",39.941014,-75.165213,"Philadelphia, PA"
229,@SmartUrbanist,"Farmers market in Columbus, OH adds local artisans this season.",39.979185,-83.007652,"Columbus, OH"
230,@HealthMatters,"Volunteers removed 3,540 pounds of trash from rivers in Charlotte, NC.",35.215242,-80.829882,"Charlotte, NC"
231,@CityObserver,"Mental health awareness walk happening downtown Phoenix, AZ this Saturday.",33.43743,-112.071604,"Phoenix, AZ"
232,@NeighborhoodNews,"Clean air campaign gains traction in Denver, CO neighborhoods.",39.745704,-104.983523,"Denver, CO"
233,@GreenPulse,"Public health team expands food safety inspections in Austin, TX.",30.278975,-97.749336,"Austin, TX"
234,@TeachToday,"Public health team expands food safety inspections in Chicago, IL.",41.872135,-87.616817,"Chicago, IL"
235,@NeighborhoodNews,"Teachers in San Jose, CA receive innovation grants for classroom tech.",37.342354,-121.899303,"San Jose, CA"
236,@GreenPulse,"Mobile vaccine unit returns this weekend in Charlotte, NC. Walk-ins welcome.",35.231571,-80.850947,"Charlotte, NC"
237,@CityObserver,"Urban tree canopy expansion adds shade in Charlotte, NC.",35.227067,-80.843222,"Charlotte, NC"
